epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.42299,2.58383,3.47211,2.57405,0.00303,0.90909,0.01409,0.00363,3.10991,3.5001,3.03697,4e-05,4e-05,4e-05
2,5.10968,2.60295,3.41242,2.5304,0.00333,1,0.02344,0.00862,2.00625,3.36598,2.34976,9.802e-05,9.802e-05,9.802e-05
3,6.73814,2.64203,3.48875,2.52926,0.00333,1,0.02137,0.01038,1.93835,3.30254,2.42157,0.000153664,0.000153664,0.000153664
4,8.58684,1.9453,3.01977,1.99941,0.00333,1,0.05098,0.01633,2.04978,3.49358,2.59347,0.000206932,0.000206932,0.000206932
5,9.61484,1.40305,2.74015,1.61386,0.00242,0.72727,0.01944,0.00577,3.45571,3.98183,3.10802,0.000257824,0.000257824,0.000257824
6,10.4266,1.27518,2.51254,1.57341,0.00152,0.45455,0.01915,0.00393,3.99676,4.03211,3.25569,0.00030634,0.00030634,0.00030634
7,11.2988,1.23634,2.33139,1.43379,0.00121,0.36364,0.00786,0.00246,4.21843,4.14982,3.42497,0.00035248,0.00035248,0.00035248
8,12.1459,0.89046,2.05587,1.24787,0.00152,0.45455,0.00928,0.0024,4.20527,4.03864,3.46467,0.000396244,0.000396244,0.000396244
9,12.9522,0.8828,1.95861,1.2549,0.00182,0.54545,0.0233,0.00667,3.87882,4.04036,3.3045,0.000437632,0.000437632,0.000437632
10,13.7402,0.86481,1.76543,1.26083,0.00182,0.54545,0.03991,0.01268,3.63175,3.94978,3.14385,0.000476644,0.000476644,0.000476644
11,14.5475,0.75714,1.57422,1.15376,0.00303,0.90909,0.0916,0.02391,3.14817,3.59174,2.7919,0.00051328,0.00051328,0.00051328
12,15.3023,0.8011,1.43243,1.17508,0.00303,0.90909,0.16103,0.05895,2.69882,3.28818,2.4464,0.00054754,0.00054754,0.00054754
13,16.0873,0.82943,1.32734,1.20751,0.00333,1,0.46257,0.23229,2.14386,2.9252,2.08145,0.000579424,0.000579424,0.000579424
14,16.9535,0.771,1.1744,1.1647,0.00796,1,0.56913,0.28081,1.98233,2.80283,1.97704,0.000608932,0.000608932,0.000608932
15,17.7741,0.80859,1.26964,1.17508,0.83689,0.46813,0.81267,0.42501,1.79529,2.63179,1.85888,0.000636064,0.000636064,0.000636064
16,18.5317,0.62566,1.07193,1.06017,0.97462,0.54545,0.85629,0.4534,1.77386,2.58206,1.8447,0.00066082,0.00066082,0.00066082
17,19.3354,0.72402,1.12802,1.11492,1,0.53013,0.9025,0.51709,1.64917,2.5961,1.87694,0.0006832,0.0006832,0.0006832
18,20.125,0.68033,0.99344,1.07147,1,0.47362,0.93634,0.58593,1.4437,2.55542,1.79005,0.000703204,0.000703204,0.000703204
19,20.9064,0.68503,1.06024,1.07668,1,0.49263,0.96324,0.69747,1.25906,2.40377,1.65104,0.000720832,0.000720832,0.000720832
20,21.6523,0.6414,0.93568,1.06443,1,0.54392,0.98115,0.7168,1.11892,2.29461,1.56531,0.000736084,0.000736084,0.000736084
21,22.5495,0.64768,0.90275,1.03727,1,0.71651,0.9875,0.79032,0.98787,2.20541,1.46538,0.00074896,0.00074896,0.00074896
22,23.3776,0.66531,0.897,1.07974,1,0.85112,0.995,0.83387,0.88463,2.07333,1.33867,0.00075946,0.00075946,0.00075946
23,24.1947,0.64699,0.8449,1.03376,1,0.97896,0.995,0.84203,0.80318,1.86939,1.24226,0.000767584,0.000767584,0.000767584
24,25.027,0.58888,0.82299,1.01707,0.97755,1,0.995,0.83619,0.75923,1.62053,1.17894,0.000773332,0.000773332,0.000773332
25,25.7938,0.6844,0.95959,1.11401,0.98921,1,0.995,0.84518,0.70157,1.40469,1.11733,0.000776704,0.000776704,0.000776704
26,26.6873,0.62205,0.82745,1.01501,0.99299,1,0.995,0.85659,0.61442,1.22226,1.04236,0.0007777,0.0007777,0.0007777
27,27.5607,0.56139,0.86469,1.02097,0.99398,1,0.995,0.86525,0.5711,1.15309,1.00301,0.00077632,0.00077632,0.00077632
28,28.4095,0.61041,0.86607,0.99847,0.99467,1,0.995,0.87833,0.5554,1.15869,0.99352,0.000772564,0.000772564,0.000772564
29,29.2466,0.66594,0.82059,1.04724,0.99467,1,0.995,0.87833,0.5554,1.15869,0.99352,0.000766432,0.000766432,0.000766432
30,30.0199,0.64107,0.78642,0.99935,0.99466,1,0.995,0.88282,0.56613,1.20786,1.00163,0.000757924,0.000757924,0.000757924
31,30.8443,0.56718,0.787,0.99667,0.99388,1,0.995,0.88789,0.57742,1.25266,1.01608,0.00074704,0.00074704,0.00074704
32,31.6348,0.5965,0.81501,1.02698,0.99376,1,0.995,0.88789,0.5723,1.27741,1.01599,0.00073378,0.00073378,0.00073378
33,32.3702,0.58167,0.76245,0.98517,0.99376,1,0.995,0.88789,0.5723,1.27741,1.01599,0.000718144,0.000718144,0.000718144
34,33.1413,0.53051,0.76446,0.99412,0.99312,1,0.995,0.88625,0.54279,1.27152,1.0009,0.0006932,0.0006932,0.0006932
35,33.9217,0.57228,0.7712,0.98983,0.99364,1,0.995,0.8691,0.52537,1.21227,0.98615,0.0006536,0.0006536,0.0006536
36,34.7961,0.62307,0.80267,0.97577,0.99443,1,0.995,0.86689,0.52446,1.14695,0.97948,0.000614,0.000614,0.000614
37,35.5571,0.51254,0.73144,0.99117,0.99443,1,0.995,0.86689,0.52446,1.14695,0.97948,0.0005744,0.0005744,0.0005744
38,36.3619,0.53327,0.73157,0.96652,0.99536,1,0.995,0.87621,0.51171,1.05339,0.96894,0.0005348,0.0005348,0.0005348
39,37.1208,0.55639,0.71903,0.96803,0.99535,1,0.995,0.91486,0.49979,0.96729,0.95672,0.0004952,0.0004952,0.0004952
40,37.8807,0.48919,0.70926,0.95138,0.99528,1,0.995,0.89162,0.49149,0.91408,0.94932,0.0004556,0.0004556,0.0004556
41,56.3563,0.64565,1.40705,1.06147,0.99528,1,0.995,0.89162,0.49149,0.91408,0.94932,0.000416,0.000416,0.000416
42,57.5955,0.50945,1.20586,0.90754,0.99541,1,0.995,0.89508,0.48645,0.88655,0.94967,0.0003764,0.0003764,0.0003764
43,58.438,0.61172,1.3607,1.06021,0.99551,1,0.995,0.89553,0.48963,0.87023,0.94659,0.0003368,0.0003368,0.0003368
44,59.2609,0.47348,1.17398,0.9368,0.99551,1,0.995,0.88727,0.49363,0.85611,0.94693,0.0002972,0.0002972,0.0002972
45,60.1432,0.46608,1.14392,0.9651,0.99551,1,0.995,0.88727,0.49363,0.85611,0.94693,0.0002576,0.0002576,0.0002576
46,60.9971,0.46784,1.12759,0.92655,0.99552,1,0.995,0.88233,0.49983,0.86208,0.94801,0.000218,0.000218,0.000218
47,61.7839,0.47769,1.17258,0.94257,0.99553,1,0.995,0.87478,0.50308,0.86947,0.94811,0.0001784,0.0001784,0.0001784
48,62.5802,0.45428,1.14269,0.94675,0.9955,1,0.995,0.87478,0.50037,0.86619,0.94442,0.0001388,0.0001388,0.0001388
49,63.4049,0.46121,1.10531,0.97909,0.9955,1,0.995,0.87478,0.50037,0.86619,0.94442,9.92e-05,9.92e-05,9.92e-05
50,64.1917,0.46752,1.08735,0.97317,0.9954,1,0.995,0.87478,0.49383,0.85849,0.94144,5.96e-05,5.96e-05,5.96e-05
